State,Degree Centrality
New Jersey,11
Mississippi,25
Connecticut,10
Maryland,29
Louisiana,20
Missouri,40
Rhode Island,6
Alabama,28
New York,20
New Hampshire,12
Nevada,12
Ohio,37
Arkansas,32
Arizona,11
District of Columbia,6
Kansas,41
West Virginia,41
New Mexico,28
Kentucky,33
South Carolina,32
Idaho,19
Wyoming,23
Oregon,14
Oklahoma,45
Michigan,16
Wisconsin,24
Vermont,9
,0
Massachusetts,12
Colorado,26
Indiana,32
Washington,9
Florida,17
North Dakota,12
California,9
Maine,5
Nebraska,30
Virginia,46
Illinois,36
Georgia,42
Tennessee,45
Minnesota,25
South Dakota,19
Pennsylvania,36
Utah,13
Texas,37
Delaware,9
Montana,15
North Carolina,49
Iowa,36
